name,value,note
use_generation_prevention,0.0,
gbar_H,0.85,
gbar_SC,0.62,
gbar_LG,0.78,
rho_min_H,1.0,
rho_min_SC,1.0,
rho_min_LG,1.0,
kappa_rho,0.0,
pbar,0.0,
kappa_theta,0.0,
theta_floor,1.0,
leakage_H,0.0,
leakage_SC,0.0,
leakage_LG,0.0,
sR0,0.18,
sO0,0.1,
aA_R,0.06,
aA_O,0.05,
aw_R,0.0015,
aw_O,0.0012,
sR_max,0.45,
sO_max,0.35,
gamma,1e-06,
delta_psi,1e-06,
use_convenience,1.0,
aPsi_R,0.03,
aPsi_O,0.04,
A0,0.0,
Psi0,0.0,
eta_R,0.0,
eta_O,0.0,
c_sep,0.0,
sep_share,0.0,
lambda_MRF,0.08,
lambda_CMP,0.1,
ell_CMP,0.3,
lambda_WTE,0.22,
e_E,0.31,
e_use_MRF,0.02,
e_use_CMP,0.01,
e_use_WTE,0.04,
e_use_LF,0.005,
e_use_sep,0.0,
delta_LF,0.0,
S_LF0,0.0,
S_ENV0,0.0,
c_coll,38.0,
c_MRF,35.0,
c_CMP,30.0,
c_WTE,55.0,
c_LF,25.0,
chi_WTE,800.0,
alpha_WTE,0.09,
SCC,190.0,
g_coll,0.015,
g_sep,0.0,
g_MRF,0.02,
g_CMP,0.05,
g_WTE,0.43,
g_LF,0.62,
b_MRF,1.1,
b_CMP,0.2,
g_grid,0.4,
d_ENV,0.0,
