year,N,p_G,p_R,p_O,p_HAUL,E_edu,X_MUN,p_mat,p_cmp,p_E,tax_LF,t_MRF,t_CMP,t_WTE,t_LF,K_MRF,K_CMP,K_WTE,K_LF,RC_LF
2024,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2025,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2026,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2027,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2028,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2029,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2030,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2031,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2032,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2033,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2034,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2035,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2036,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2037,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2038,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2039,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2040,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2041,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2042,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2043,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
2044,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,192350000,30000000,1400000000,5000000,40000000
