year,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_env,D_NC,D_LF,mass_residual
2024,0.0,0.0,0.45,0.35,0.20000000000000007,2475000.0,0.0,2475000.0,1113750.0,866250.0,495000.0000000002,192350,30000,1400000,1179038.0,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,0.0,0.0,1423125000.0,1732500000.0,1569224000.0,15926580.0,19530000.0,70742280.0,-309375000.0,69226000.0,1419830100.0,1375475.56,1003617.3600000001,367957.81,190687298.4,323790825.4,514478123.79999995,0.08240888888888889,0.5236210101010101,0.0
2025,5.0,3.0,0.45,0.35,0.20000000000000007,2498306.810702846,0.0,2498306.8107028464,1124238.0648162807,874407.383745996,499661.36214056937,192350,30000,1400000,1202344.8107028464,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,1179038.0,0.0,1465256944.477219,1783791062.8418324,1580877405.3514233,15926580.0,19530000.0,72140688.64217079,-318534118.3646133,107977998.68370098,1429502426.4416814,1390275.3847963074,1018417.1847963075,367841.27594648575,193499265.1112984,323867737.87531936,517367002.9866178,0.08164009285257465,0.5187361273835731,-4.656612873077393e-10
2026,10.149999999999999,6.09,0.45,0.35,0.20000000000000007,2521794.612046534,0.0,2521794.6120465347,1134807.5754209405,882628.114216287,504358.92240930704,192350,30000,1400000,1225832.6120465347,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,2381382.8107028464,0.0,15086384087.10719,18366230159.534912,1592621306.0232673,15926580.0,19530000.0,73549956.72279207,-3279846072.427723,16677780658.253876,1439249863.9993117,1405190.1386495493,1033331.9386495494,367723.83693976735,196333068.3434144,323945247.6197536,520278315.963168,0.08087970329767534,0.5139046589318692,-4.656612873077393e-10
2027,15.4545,9.2727,0.45,0.35,0.20000000000000007,2545463.2988027427,0.0,2545463.2988027427,1145458.4844612342,890912.1545809598,509092.6597605486,192350,30000,1400000,1249501.2988027427,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,3607215.422749381,0.0,15532289776.129398,18907701383.506775,1604455649.4013715,15926580.0,19530000.0,74970077.92816457,-3375411607.3773766,17206518128.7509,1449072369.0031385,1420219.7547397418,1048361.5547397418,367605.4935059863,199188695.40055096,324023354.28604907,523212049.6866,0.08012765302722433,0.5091261777805066,0.0
2028,20.918135,12.550881,0.45,0.35,0.20000000000000007,2569312.701212405,0.0,2569312.701212405,1156190.7155455824,899259.4454243417,513862.54024248116,192350,30000,1400000,1273350.7012124052,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,4856716.721552124,0.0,11485983965.134998,19467682337.086395,1616380350.6062026,15926580.0,19530000.0,76401042.07274431,-7981698371.951397,17753668103.83412,1458969871.003148,1435364.1252698773,1063505.9252698773,367486.246493938,202066125.80127668,324102057.31400096,526168183.11527765,0.07938387565816904,0.504400262135653,0.0
2029,26.545679,15.927407,0.45,0.35,0.20000000000000007,2593344.8275891403,0.0,2593344.8275891403,1167005.172415113,907670.689656199,518668.96551782824,192350,30000,1400000,1297382.8275891403,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,6130067.4227645295,0.0,11953763648.289385,20043962172.436466,1628396413.79457,15926580.0,19530000.0,77842969.65534842,-8090198524.147081,18317018655.19351,1468943203.449493,1450624.525519104,1078766.325519104,367366.0858620543,204965601.84862977,324181363.3310442,529146965.17967397,0.07864823753099193,0.49972606273295694,0.0
2030,32.342049,19.405229,0.45,0.35,0.20000000000000007,2617557.1314540626,0.0,2617557.1314540626,1177900.709154328,916144.9960089219,523511.42629081267,192350,30000,1400000,1321595.1314540626,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,7427450.25035367,0.0,16950514716.157076,20634202867.252377,1640502565.7270312,15926580.0,19530000.0,79295707.88724376,-3683688151.0953007,18894233130.53009,1478991309.5534358,1465999.3384733298,1094141.1384733298,367245.0243427297,207886816.30993268,324261263.93379843,532148080.24373114,0.07792074432648519,0.49510361566782246,0.0
2031,38.312310000000004,22.987385999999997,0.45,0.35,0.20000000000000007,2641951.4863975514,0.0,2641951.4863975514,1188878.168878898,924683.0202391429,528390.2972795104,192350,30000,1400000,1345989.4863975514,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,8749045.381807733,0.0,17450089567.65583,21243931902.12271,1652699743.1987758,15926580.0,19530000.0,80759369.18385309,-3793842334.466881,19490838002.440826,1489114966.8549838,1481489.7538624452,1109631.5538624453,367123.05256801227,210829995.2338646,324341765.3051119,535171760.5389765,0.07720126620421543,0.49053209594212366,0.0
2032,44.461679000000004,26.677007999999997,0.45,0.35,0.20000000000000007,2666525.2163020913,0.0,2666525.2163020913,1199936.3473359412,933283.8257057319,533305.0432604185,192350,30000,1400000,1370563.2163020913,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,10095034.868205285,0.0,17964513708.488007,21870839824.109753,1664986608.1510458,15926580.0,19530000.0,82233792.97812548,-3906326115.621746,20104525257.739227,1499313064.765368,1497094.0723518278,1125235.8723518278,367000.18391848955,213794815.74684727,324422858.6137969,538217674.3606441,0.07648980731667422,0.48601152994053676,0.0
2033,50.795529,30.477317999999997,0.45,0.35,0.20000000000000007,2691282.2960597696,0.0,2691282.2960597696,1211077.0332268965,941948.8036209194,538256.4592119541,192350,30000,1400000,1395320.29605977,176962.0,18000.000000000004,1092000.0,308000.0,434000.0,11465598.084507376,0.0,13282958336.317797,22515267688.836033,1677365148.029885,15926580.0,19530000.0,83719217.76358621,-9232309352.518236,20735633813.555878,1509587252.8648045,1512814.8179979539,1140956.617997954,366876.39851970115,216781757.41961125,324504556.97699726,541286314.3966085,0.07578617832050358,0.4815407145870134,-4.656612873077393e-10
