year,N,p_G,p_R,p_O,p_HAUL,E_edu,X_MUN,p_mat,p_cmp,p_E,tax_LF,t_MRF,t_CMP,t_WTE,t_LF,K_MRF,K_CMP,K_WTE,K_LF,RC_LF,Y
2024,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.0
2025,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.0225
2026,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.045506
2027,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.06903
2028,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.093083
2029,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.117678
2030,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.142825
2031,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.168539
2032,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.194831
2033,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.221715
2034,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.249203
2035,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.277311
2036,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.30605
2037,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.335436
2038,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.365483
2039,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.396207
2040,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.427621
2041,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.459743
2042,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.492587
2043,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.52617
2044,1100000,110,40,50,70,5000000,3000000,40,0,45,60,30,40,65,50,1923500,30000,1400000,5000000,40000000,1.560509
