year,scenario_id,scenario_name,scenario_logic,scenario_mechanisms,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,lambda_MRF,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_water,D_env,D_NC,D_LF,mass_residual
2024,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,0.0,0.0,0.3675712480595001,0.32829650284401024,0.27641881801870977,2475000.0,68590.74191750538,2406409.2580824946,909738.8389472627,812533.8445389252,684136.5745963067,909738.8389472627,30000.0,1400000.0,650592.0708194107,636817.1872630839,18000.000000000004,1092000.0,308000.0,434000.0,0.3,0.0,0.0,152271268.9904305,168448648.06577462,152021768.70938843,25472687.490523353,19530000.0,39035524.24916464,-16177379.075344115,-75016672.45074861,31983270.817107663,1061157.9995582174,183459.09356882505,356252.2628669577,34857227.77807676,322046953.83370405,487944.05311455805,357392125.66489536,0.2758538203896519,0.7296419681588893,0.0
2025,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,5.0,0.0,0.3688090660344087,0.32891199532403687,0.2748831152573781,2509650.0,68753.9281560981,2440896.071843902,925581.6725732539,825453.9890649691,689860.4102056789,925581.6725732539,30000.0,1400000.0,645625.1493281705,676270.9225157315,18000.000000000004,1092000.0,308000.0,434000.0,0.2693557548135127,650592.0708194107,68590.74191750538,154180611.47880328,170862725.02907315,152248707.64360616,27050836.90062926,19530000.0,38737508.95969023,-16682113.550269872,-74140033.34460129,33656048.31127703,1058912.6671125893,137814.6523452846,355960.2408018941,26184783.94560407,322030562.99278295,484218.8619961279,349728426.92914575,0.28811997799827116,0.7354966658451574,0.0
2026,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,10.0,0.0,0.3699910401781385,0.32949647751332145,0.27341752784579293,2545079.24,68958.80611188288,2476120.433888117,941656.5153433863,838594.6445722813,695869.2739724496,941656.5153433863,30000.0,1400000.0,644267.6266940093,712852.8071941079,18000.000000000004,1092000.0,308000.0,434000.0,0.24298000854997792,1296217.2201475813,137344.67007360348,156141612.97931898,173328430.37216818,152663076.79500204,28514112.28776432,19530000.0,38656057.60164056,-17186817.392849207,-73427222.9105823,35086462.77675704,1058920.8653654752,97582.77745195641,355645.53155966225,18540727.715871718,322026083.1680902,483200.720020507,343110181.6550865,0.29879516241153,0.7398076370290475,0.0
2027,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,15.0,0.0,0.37107287554354784,0.33002865476156584,0.27207684180623987,2581306.2,69234.83436305613,2512071.365636944,957852.7142923884,851905.0127136894,702313.6386308662,957852.7142923884,30000.0,1400000.0,646212.7167507804,746858.6488861635,18000.000000000004,1092000.0,308000.0,434000.0,0.2202781933567901,1940484.8468415905,206303.47618548636,158163859.45677528,175844995.59458607,153246217.26631066,29874345.95544654,19530000.0,38772763.00504682,-17681136.137810796,-72859933.56592846,36297637.29770728,1060990.0091558858,62245.495381105924,355311.88213039836,11826644.122410126,322032501.96527755,484659.53756308526,337438357.768033,0.308055996924255,0.7427570229132678,0.0
2028,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,20.0,0.0,0.37202533536565113,0.33049497736818273,0.2708970836863815,2618347.8200000003,69602.50213305315,2548745.3178669466,974091.7258394216,865350.8035129306,709302.7885145945,974091.7258394216,30000.0,1400000.0,651191.3623226681,778553.9555442788,18000.000000000004,1092000.0,308000.0,434000.0,0.20073855994068582,2586697.5635923706,275538.3105485425,160254515.9458288,178412172.25068626,153982319.89131606,31142158.221771155,19530000.0,39071481.73936009,-18157656.304857463,-72422469.71957377,37310001.91128067,1064951.658924847,31342.30782614008,354962.20867159823,5955038.486966616,322048931.49566483,488393.52174200106,332625438.1626016,0.31605902319751966,0.7445051265978775,0.0
2029,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,25.0,0.0,0.3728356415261366,0.3308900661149145,0.2698938533745336,2656224.12,70072.35832659205,2586151.7616734076,990335.0238173975,878918.1746828307,716898.5631731795,990335.0238173975,30000.0,1400000.0,658959.7908384512,808191.9708349565,18000.000000000004,1092000.0,308000.0,434000.0,0.18392064160302324,3237888.9259150387,345140.8126815956,162418151.63588718,181030623.31713852,154858040.25644448,32327678.83339826,19530000.0,39537587.45030707,-18612471.681251347,-72101183.88289545,38142411.03496547,1070654.0472212888,4442.879302836722,354598.5005694598,844147.0675389771,322074567.3097669,494219.84312883846,328590046.41065866,0.32294778025498905,0.7451967821052924,4.656612873077393e-10
2030,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,30.0,0.0,0.3735051549906753,0.3312153697302817,0.26906525507764584,2694950.5,70646.0258388652,2624304.4741611346,1006577.904194698,892609.0262623075,725117.5437041292,1006577.904194698,30000.0,1400000.0,669286.4902243983,836017.9839367366,18000.000000000004,1092000.0,308000.0,434000.0,0.1694453251429318,3896848.71675349,415213.1710081877,164656497.2883575,183701313.1912794,155861661.63706085,33440719.35746946,19530000.0,40157189.4134639,-19044815.902921915,-71883918.46390456,38812802.67864203,1077953.749135438,-18866.033194972435,354222.00946498406,-3584546.3070447627,322108645.4177405,501964.8676682988,325254261.5434869,0.32885589017356776,0.744966143671901,0.0
2031,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,35.0,0.0,0.3740451097094943,0.33147697187137215,0.2683972134276052,2734550.0599999996,71318.99339942636,2663231.0666005732,1022845.0771988041,906440.3733194789,733945.6160822904,1022845.0771988041,30000.0,1400000.0,681958.6584586363,862272.4081419372,18000.000000000004,1092000.0,308000.0,434000.0,0.15698630480445416,4566135.206977888,485859.1968470529,166969839.52297807,186426174.6620401,156983285.23889595,34490896.32567749,19530000.0,40917519.50751817,-19456335.139062047,-71759891.10767762,39338117.893631205,1086719.735787339,-38979.91316879215,353833.3051637307,-7406183.502070508,322150463.5729135,511468.9938439772,322543637.0173928,0.33390734258632343,0.7439356025051523,0.0
2032,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,40.0,0.0,0.3744721399710207,0.331683387409306,0.2678690203935127,2775039.7399999998,72082.91219206729,2702956.827807932,1039175.0699424248,920434.5811586396,743347.176706868,1039175.0699424248,30000.0,1400000.0,696774.3370315272,887182.4907764053,18000.000000000004,1092000.0,308000.0,434000.0,0.14626272662068446,5248093.865436524,557178.1902464792,169356921.29338446,189206977.94655526,158213968.9498491,35487299.63105621,19530000.0,41806460.221891634,-19850056.653170794,-71719350.45999527,39734322.48524063,1096827.9427755144,-56272.79707853147,353432.62691599387,-10691831.44492098,322199355.312204,522580.7527736454,320387777.47375387,0.3382157204182196,0.742217733608197,4.656612873077393e-10
2033,value_1,Education only,"Awareness (built by education spend E_edu) shifts recycling, organics, and informal-leakage shares. Convenience channel stays off.",Education ON; convenience OFF.,45.0,0.0,0.3748046671932947,0.33184383106740395,0.26745780230599964,2816441.1000000006,72928.07931499783,2743513.0206850027,1055615.2691550169,934618.6045996934,753279.1469302922,1055615.2691550169,30000.0,1400000.0,713551.7281162434,910961.2925687591,18000.000000000004,1092000.0,308000.0,434000.0,0.13703285734209614,5944868.202468052,629261.1024385465,171816247.15851748,192045911.44795018,159546044.48046267,36438451.70275036,19530000.0,42813103.6869746,-20229664.289432704,-71753627.81854258,40016064.872906744,1108167.0721254463,-71090.34970018873,353019.93597631843,-13507166.44303586,322254720.7027836,535163.7960871826,318721634.5924131,0.3418833027206002,0.7399131249837906,4.656612873077393e-10
