year,scenario_id,scenario_name,scenario_logic,scenario_mechanisms,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,lambda_MRF,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_water,D_env,D_NC,D_LF,mass_residual
2024,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2475000.0,72925.76312031012,2402074.2368796896,870825.8202930514,803873.5495680668,727374.8670185716,870825.8202930514,30000.0,1400000.0,673496.1626745538,609578.0742051359,18000.000000000004,1092000.0,308000.0,434000.0,0.3,0.0,0.0,155037945.66216826,168145196.58157828,151999582.74251923,24383122.968205437,19530000.0,40409769.76047323,-13107250.91941002,-75133207.16236915,30286628.173130773,1074515.2508172798,226779.36919163028,356916.0027807662,43088080.14640975,322122537.336826,505122.1220059154,365715739.6052417,0.2650118237111835,0.7196189225402834,4.656612873077393e-10
2025,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2509650.0,73946.72380399446,2435703.2761960058,883017.3817771542,815127.7792620198,737558.1151568316,883017.3817771542,30000.0,1400000.0,698591.1089519977,618112.1672440079,18000.000000000004,1092000.0,308000.0,434000.0,0.3,673496.1626745538,72925.76312031012,157208476.90143862,170499229.33372042,153620076.90091452,24724486.689760316,19530000.0,41915466.537119865,-13290752.432281792,-75677572.06264232,29688710.967554644,1090822.3843287218,233699.000360313,356546.6968196969,44402810.068459466,322205350.6595416,523943.3317139983,368225990.5065197,0.26485663239387724,0.7131871046119245,0.0
2026,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2545079.24,74990.64475905412,2470088.595240946,895483.117932855,826635.1040770902,747970.373231001,895483.117932855,30000.0,1400000.0,724250.4126879477,626838.1825529985,18000.000000000004,1092000.0,308000.0,434000.0,0.3,1372087.2716265516,146872.48692430457,159427820.9765788,172906201.6668662,155277014.17238304,25073527.30211994,19530000.0,43455024.76127686,-13478380.690287411,-76234179.12467277,29077347.26837749,1107496.2471537988,240774.24634550035,356169.08557790314,45747106.80564506,322290026.3618702,543187.8095159607,370783408.2808958,0.2647023203186846,0.7067917263844942,0.0
2027,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2581306.2,76058.07049785368,2505248.1295021465,908229.5309262786,838401.5262691146,758617.0723067533,908229.5309262786,30000.0,1400000.0,750487.4578537513,635760.6716483949,18000.000000000004,1092000.0,308000.0,434000.0,0.3,2096337.6843144994,221863.1316833587,161697135.50424975,175367369.06515026,156971258.82047594,25430426.865935795,19530000.0,45029247.471225075,-13670233.56090051,-76803318.67640725,28452218.18642313,1124545.5364303836,248008.79761714907,355782.97209220566,47121671.547258325,322376608.6109174,562865.5933903134,373389092.72681636,0.2645489138754897,0.7004338815720855,4.656612873077393e-10
2028,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2618347.8200000003,77149.50015672743,2541198.3198432727,921262.5810763731,850432.5479059434,769503.1908609563,921262.5810763731,30000.0,1400000.0,777314.5130898117,644883.8067534611,18000.000000000004,1092000.0,308000.0,434000.0,0.3,2846825.142168251,297921.2021812124,164017481.63305727,177883882.3890291,158703603.08678177,25795352.270138446,19530000.0,46638870.7853887,-13866400.75597182,-77385256.85179704,27813031.40661315,1141978.2245348599,255406.03710605262,355388.17581302347,48527147.05015,322465137.89319634,582985.8848173588,376044088.86088187,0.2643964469466906,0.6941149744118545,0.0
2029,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2656224.12,78265.5236240704,2577958.5963759297,934589.31239644,862734.6714313999,780634.6125480898,934589.31239644,30000.0,1400000.0,804746.0776984217,654212.5186775079,18000.000000000004,1092000.0,308000.0,434000.0,0.3,3624139.6552580623,375070.7023379398,166390113.4477175,180457101.74631506,160474983.25681427,26168500.747100316,19530000.0,48284764.6619053,-14066988.298597574,-77980308.17278454,27159441.465673357,1159803.733366589,262969.9628213303,354984.4833635791,49964292.936052755,322555662.05640477,603559.5582738162,378749575.0858004,0.2642449415732084,0.6878359183775387,0.0
2030,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2694950.5,79406.5946601864,2615543.905339814,948215.1433582501,875312.8987253481,792015.8632562154,948215.1433582501,30000.0,1400000.0,832793.3049890385,663750.600350775,18000.000000000004,1092000.0,308000.0,434000.0,0.3,4428885.732956484,453336.2259620102,168815995.6287811,183088073.37378696,162286119.55019945,26550024.014031,19530000.0,49967598.29934231,-14272077.745005846,-78588714.57932542,26491182.622623406,1178029.310540466,270703.6501546134,354571.7306078898,51433693.52937655,322648217.90646386,624594.9787417789,381506549.80401236,0.2640944389962485,0.6815984226879797,0.0
2031,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2734550.0599999996,80573.39390553124,2653976.6660944684,962148.2016694597,888174.7326075837,803653.731817425,962148.2016694597,30000.0,1400000.0,861472.9249258466,673503.7411686217,18000.000000000004,1092000.0,308000.0,434000.0,0.3,5261679.037945522,532742.8206221967,171296575.19707432,185778366.62661278,164138092.2963761,26940149.64674487,19530000.0,51688375.4955508,-14481791.429538459,-79210838.98135313,25807856.26599294,1196665.8274788312,278611.7121933473,354149.6713419816,52936225.31673598,322742860.6522553,646104.693694385,384316332.97201866,0.26394495103058574,0.6754029769999559,0.0
2032,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2775039.7399999998,81766.42049643918,2693273.3195035607,976394.4476490165,901325.6751459576,815553.1967085864,976394.4476490165,30000.0,1400000.0,890797.2061492491,683476.1133543116,18000.000000000004,1092000.0,308000.0,434000.0,0.3,6123151.962871369,613316.2145277279,173832913.301203,188529132.36524925,166031693.73693293,27339044.53417246,19530000.0,53447832.36895495,-14696219.064046234,-79846947.51281899,25109170.080703653,1215721.256558068,286697.5318683253,353718.1250162734,54472531.05498181,322839630.7802925,668097.9046119368,387180002.9578022,0.26379651415596783,0.6692510931963467,0.0
2033,value_0,No behavioral response (baseline),Generation and sorting driven only by fixed intercepts; awareness and convenience have no effect. Informal leakage present at its structural baseline (leakage_H intercept) but not responsive to policy.,Education OFF; convenience OFF; generation prevention OFF; mechanical separation retired (n/a).,0.0,0.0,0.3518488162800208,0.3247973937648755,0.2938888351590188,2816441.1000000006,82986.30969733564,2733454.790302665,990961.4671573997,914772.7289722792,827720.5941729858,990961.4671573997,30000.0,1400000.0,920781.7632924849,693673.0270101798,18000.000000000004,1092000.0,308000.0,434000.0,0.3,7013949.169020618,695082.6350241671,176426360.4939384,191341835.32118654,167967932.17934623,27746921.080407195,19530000.0,55246905.7975491,-14915474.827248156,-80497378.88966095,24394752.029383242,1235205.7444390287,294965.4147278308,353276.86184038955,56043428.79828785,322938579.8188652,690586.3224693637,390098834.4649849,0.2636491481647598,0.6631435915607259,0.0
